NOME_PRODUTO,DESCRIÇÃO
ABCLER ABNAT,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
ABEDERIL,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
ABEDOSEC,ANTIULCEROSOS
ABELCET,ANTIMICOTICOS SISTEMICOS
ABELIA,IMUNOMODULADOR
ABEPOTEN,ANTI-HIPERTENSIVOS SIMPLES
ABERALGINA,ANALGESICOS NAO NARCOTICOS
ABFOR GERIN,VITAMINAS E SUPLEMENTOS MINERAIS
ABFOR GERIN,POLIVITAMINICOS COM MINERAIS
ABIDOR,ANALGESICOS
ABIFLAN,ANTINFLAMATORIOS
ABILIFY,ANTIPSICOTICOS
ABINESIL,ANTIDIABETICOS
ABLOK,BETABLOQUEADORES SIMPLES
ABLOK PLUS,ANTI-HIPERTENSIVOS
ABOBORA D''ANTA,FITOTERAPICO COMPOSTO
ABRENA,DESCONGESTIONANTES NASAIS TOPICOS
ABRETIA,ANTIDEPRESSIVOS
ABRIFIT,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES
ABRILAR,EXPECTORANTES + FITOTERAPICO SIMPLES
ABSTEN S,ANOREXICOS SIMPLES
AC ACETIL+ASSOC,ANALGESICOS NAO NARCOTICOS
AC ASCORBICO+CARBONATO DE MAGNESIO+CARB DE CALCIO+ LACT. FERROSO,VITAMINAS E SUPLEMENTOS MINERAIS
AC BENZOICO ASSOCIADO,ANTISSEPTICO
AC. ACETIL SALICILICO + ASSOCIAÇÕES,ANALGESICOS NAO NARCOTICOS
AC. ACETILSALICILICO+ASSOCIAÇÕES,ANTIACIDOS E ANTIULCEROSOS SIMPLES
AC. ASCORBICO,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS
AC. ASCORBICO + ASSOCIACÕES,POLIVITAMINICOS COM MINERAIS
AC. GLUTAMICO + ASSOCIAÇÕES,PRODUTOS PARA DIETAS ESPECIAIS
ACAFRAN,COLAGOGOS E COLERETICOS
ACALKA,PRODUTOS PARA VIAS URINARIAS
ACALMIL,FITOTERAPICO COMPOSTO
ACALMILFITO,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO
ACARSAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS
ACCERA,ANTIGLAUCOMATOSOS
ACCOLATE,ANTIASMATICOS
ACCUPRIL,ANTI-HIPERTENSIVOS
ACCUVIT,VITAMINAS E SUPLEMENTOS MINERAIS
ACEBROFILINA,BRONCODILATADORES
ACEBROFILINA,EXPECTORANTES
ACECILICO,ANALGESICOS NAO NARCOTICOS
ACECLOFENAC,ANTINFLAMATORIOS
ACECLOFENACO,ANTINFLAMATORIOS
ACECTIL,ANALGESICOS NAO NARCOTICOS
ACEDILAT,BRONCODILATADORES
ACEFLOR,ANTINFLAMATORIOS
ACEMEDROX,PROGESTAGENOS SIMPLES
ACEPONATO DE HIDROCORTISONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACERATUM,MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA
ACEROGRIP C,MONOVITAMINAS EXCETO VITAMINA K
ACEROL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS"
ACEROLITA,MONOVITAMINAS EXCETO VITAMINA K
ACEROLUP C,MONOVITAMINAS EXCETO VITAMINA K
ACERTALIX,ANTI-HIPERTENSIVOS
ACERTANLO,ANTI-HIPERTENSIVOS
ACERTIL,ANTI-HIPERTENSIVOS
ACESYL,VITAMINAS E SUPLEMENTOS MINERAIS
ACETAMIL,ANALGESICOS NAO NARCOTICOS
ACETAMOL,ANALGESICOS NAO NARCOTICOS
ACETAN,ANALGESICOS NAO NARCOTICOS
ACETATO DE ABIRATERONA,ANTINEOPLASICO
ACETATO DE ALFA DL TOCOFEROL,MONOVITAMINAS EXCETO VITAMINA K
ACETATO DE CIPROTERONA,PROGESTAGENOS SIMPLES
ACETATO DE CIPROTERONA + ETINILESTRADIOL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS
ACETATO DE CIPROTERONA + ETINILESTRADIOL,PRODUTOS ANTI-ACNE
ACETATO DE CIPROTERONA+ETINILESTRADIOL,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ACETATO DE CIPROTERONA+ETINILESTRADIOL,ANDROGENOS SIMPLES
ACETATO DE CLORMADINONA + ETINILESTRADIOL,ANTICONCEPCIONAIS
ACETATO DE CLORMADINONA+ETINILESTRADIOL,ANTICONCEPCIONAIS
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA,CERATOLITICOS E CERATOPLASTICOS
ACETATO DE DEXAMETASONA,HORMONIOS CORTICOSTEROIDES
ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE DEXAMETASONA,ANTINFLAMATORIOS
ACETATO DE DEXAMETASONA + VITAMINAS,ANTINFLAMATORIOS ANTIREUMATICOS
ACETATO DE DEXAMETAZONA,GLICOCORTICOIDES SISTEMICOS
ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO,VITAMINAS E SUPLEMENTOS MINERAIS
ACETATO DE DL ALFA TOCOFERIL,MONOVITAMINAS EXCETO VITAMINA K
ACETATO DE DL ALFA TOCOFERILA,MONOVITAMINAS EXCETO VITAMINA K
ACETATO DE EPTIFIBATIDE,ANTITROMBOTICO
ACETATO DE GUANABENZO,ANTI-HIPERTENSIVOS SIMPLES
ACETATO DE HIDROCORTISONA,ANTI-FLOGISTICO E ANTI-PRURIGINOSO
ACETATO DE HIDROCORTISONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETATO DE LEUPROLIDE,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
ACETATO DE MEDROXIPROGESTERONA,PROGESTAGENOS SIMPLES
ACETATO DE MEDROXIPROGESTERONA],PROGESTAGENOS SIMPLES
ACETATO DE MEGESTROL,ANTINEOPLASICO
ACETATO DE NORETINDRONA + ETINILESTRADIOL,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ACETATO DE NORETINDRONA + ETINILESTRADIOL/ FUMARATO FERROSO,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ACETATO DE POTASSIO,ELETROLITOS SIMPLES
ACETATO DE PREDNISOLONA,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
ACETATO DE RETINOL,MONOVITAMINAS EXCETO VITAMINA K
ACETATO DE RETINOL (50.000 UI),MONOVITAMINAS EXCETO VITAMINA K
ACETATO DE RETINOL + ASSOCIADOS,POLIVITAMINICOS COM MINERAIS
ACETATO DE RETINOL + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS
ACETATO DE RETINOL + ASSOSSIACAO,POLIVITAMINICOS SEM MINERAIS
ACETATO DE RETINOL + COLECALCIFEROL,VITAMINAS E SUPLEMENTOS MINERAIS
ACETATO DE RETINOL E BETACAROTENO,VITAMINAS E SUPLEMENTOS MINERAIS
ACETATO DE SODIO,ELETROLITOS SIMPLES
ACETATO DE SODIO + ASSOCIAÇOES,PRODUTOS PARA HEMODIALISE
ACETATO DE SÓDIO,ELETROLITOS SIMPLES
ACETATO DE TOCOFEROL,POLIVITAMINICOS COM MINERAIS
ACETATO DE TOCOFEROL,MONOVITAMINAS EXCETO VITAMINA K
ACETATO DE TOCOFEROL + ÁCIDO ASCÓRBICO + BETACAROTENO + SELÊNIO,VITAMINAS E SUPLEMENTOS MINERAIS
ACETATO DE ZINCO B.BRAUN,ELETROLITOS SIMPLES
ACETATO RETINOL + CLORIDRATO TIAMINA + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS
ACETAZOLAMIDA,DIURETICOS
ACETAZONA,GLICOCORTICOIDES SISTEMICOS
ACETICIL,ANALGESICOS
ACETILASA,ANALGESICOS NAO NARCOTICOS
ACETILCISTEINA,EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILDOR,ANALGESICOS NAO NARCOTICOS
ACETILESSIN,ANALGESICOS
ACETILMETIONINA+ASSCIACOES,COLAGOGOS E COLERETICOS
ACETILSALICILATO DE LISINA,ANALGESICOS NAO NARCOTICOS
ACETILSALIL,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE
ACETITOL,ANALGESICOS
ACETOFENIDO DE ALGESTONA+ENATATO DE ESTRADIOL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS
ACETOFLUX,PROGESTAGENOS SIMPLES
ACETONIDA DE TRIANCINOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ACETONIDO DE FLUOCINOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETONIDO DE FLUOCINOLONA + ASSOCIACOES,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO
ACETONIDO DE FLUOCINOLONA + NEOMICINA + POLIMIXINA B + LIDOCAÍNA,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO
ACETONIDO DE FLUOCINOLONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA ,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
ACETONIDO FLUOCINOLONA + SULFATO NEOMICINA + SULFATO DE POLIMIXINA B,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ACETONIDO TRIANCINOLONA+AC. SALICILICO+CLORETO DE BENZALCONIO,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ACETYLEN,ANALGESICOS
ACEVITON,VITAMINAS
ACEZO,SUPRESSORES DA REABSORCAO OSSEA
ACEÍNA,MONOVITAMINAS EXCETO VITAMINA K
ACFOL,ANTIANEMICOS
ACHEFLAN,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES
ACICLOFAR,ANTIVIROTICOS
ACICLOMAX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOMED,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOR,ANTIVIROTICOS
ACICLOR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVAN,ANTIVIROTICOS
ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVIR,ANTIVIROTICOS
ACICLOVIR 250 MG,ANTIVIROTICOS
ACICLOVIR SODICO,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACIDALIC,ANALGESICOS NAO NARCOTICOS
ACIDERM,ANTIMICOTICOS PARA USO TOPICO
ACIDEX,ANTIACIDO
ACIDO ACELTILSALICILICO,ANALGESICOS
ACIDO ACETIL SALICILICO,ANALGESICOS NAO NARCOTICOS
ACIDO ACETIL SALICILICO,ANALGESICOS
ACIDO ACETIL SALICILICO TAMPONADO,ANALGESICOS
ACIDO ACETILSALICILICO,ANALGESICOS
ACIDO ACETILSALICILICO,ANALGESICOS NAO NARCOTICOS
ACIDO ACETILSALICILICO,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
ACIDO ACETILSALICILICO,ANTIAGREGANTE PLAQUETARIO
ACIDO ACETILSALICILICO + ASSOCIACOES,ANALGESICOS CONTRA ENXAQUECA
ACIDO ACETILSALICILICO + BICARBONATO DE SODIO,ANALGESICOS
ACIDO ACETILSALICILICO ASSOCIADO,ANALGESICOS NAO NARCOTICOS
ACIDO ACETILSALICILICO DE LISINA,ANTIAGREGANTE PLAQUETARIO
ACIDO AMINOACETICO + ASSOCIACOES,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS
ACIDO ASCORBICO,MONOVITAMINAS EXCETO VITAMINA K
ACIDO ASCORBICO,VITAMINAS
ACIDO ASCORBICO + ALFA-TOCOFEROL + BETACAROTENO + MINERAIS,POLIVITAMINICOS COM MINERAIS
ACIDO ASCORBICO + ASSOC,VITAMINAS E SUPLEMENTOS MINERAIS
ACIDO ASCORBICO + ASSOC.,POLIVITAMINICOS SEM MINERAIS
ACIDO ASCORBICO + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS
ACIDO ASCORBICO + ASSOCIAÇÕES,VITAMINAS E SUPLEMENTOS MINERAIS
ACIDO ASCORBICO + NIACINA + ASSOC. POLIVITAMINAS,POLIVITAMINICOS COM MINERAIS
ACIDO ASCORBICO + PARACETAMOL + CLORIDRATO DE FENILEFRINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
ACIDO ASCORBICO+COMPLEXO B,POLIVITAMINICOS SEM MINERAIS
ACIDO ASCÓRBICO,MONOVITAMINAS EXCETO VITAMINA K
ACIDO BENZOICO + ASSOCIAÇÕES,ANTIMICOTICOS PARA USO TOPICO
ACIDO BENZOICO + IODETO DE POTASSIO +IODO,ANTIMICOTICOS PARA USO TOPICO
ACIDO BENZOICO/IODO/IODETO DE POTASSIO,ANTIMICOTICOS PARA USO TOPICO
ACIDO DEHIDROCOLICO + CLORETO DE COLINA + GLICOCOLA,DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS
ACIDO DEHIDROCOLICO+EXTRATO FITOTERAPICOS+FOSFATO SODIO,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES"
ACIDO DIMERCAPTOSSUCCINICO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
ACIDO DIMERCAPTOSUCCINICO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
ACIDO FOLICO,ANTIANEMICOS
ACIDO FOLICO,MONOVITAMINAS EXCETO VITAMINA K
ACIDO FOLICO - EUROFARMA,ANTIANEMICOS SIMPLES
ACIDO FOLINICO,ANTIANEMICOS
ACIDO FÊNICO,PRODUTOS ODONTOLOGICOS
ACIDO L-GLUTAMICO + FENITOINA,ANTICONVULSIVANTES
ACIDO MEFENAMICO,ANTINFLAMATORIOS
ACIDO MEFENAMICO,ANTINFLAMATORIOS ANTIREUMATICOS
ACIDO NALIDIXICO,ANTINFECCIOSOS
ACIDO NALIDIXICO,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
ACIDO ORTO-FENOLSULFONICO + RESORCINOL,ANTISSEPTICO
ACIDO SALICILICO,OUTROS PRODUTOS PARA REMOCAO DE IMPUREZAS DO TEGUMENTO
ACIDO SALICILICO,CERATOLITICOS E CERATOPLASTICOS
ACIDO SALICILICO + AC. BENZOICO + IODO MET. + IODETO  DE SODIO,ANTIMICOTICOS PARA USO TOPICO
ACIDO SALICILICO + ACIDO LATICO,CERATOLITICOS E CERATOPLASTICOS
ACIDO SALICILICO + CLORETO DE ZINCO,CERATOLITICOS E CERATOPLASTICOS
ACIDO TANICO+CANFORA+AMONIA+ETER ETILICO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
ACIDO TRANEXAMICO,ANTIFIBRINOLITICOS
ACIDO UNDECILENICO  +  ASSOCIAÇOES,ANTIMICOTICOS PARA USO TOPICO
ACIDO VALPROICO,ANTICONVULSIVANTES
ACIDO ZOLEDRONICO,SUPRESSORES DA REABSORCAO OSSEA
ACINIC,ANTILIPEMICOS
ACIVERAL,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACIVIRAX,ANTIVIROTICOS
ACLAF,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
ACLASTA,SUPRESSORES DA REABSORCAO OSSEA
ACNASE,PRODUTOS ANTI-ACNE
ACNASE GEL,PRODUTOS ANTI-ACNE
ACNIL,PRODUTOS ANTI-ACNE
ACNISON,PRODUTOS ANTI-ACNE
ACNOVA,PRODUTOS ANTI-ACNE
ACOG,
ACOLITIUM,ANTIDEPRESSIVOS
ACOMPLIA,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
ACONVULSIN,ANTICONVULSIVANTES
ACOTERMON,ANALGESICOS CONTRA ENXAQUECA
ACRIDIN,ANTISSEPTICOS URINARIOS SIMPLES
ACTI-VALDA,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
ACTICALCIN,HORMONIO HIPOCALCEMICO
ACTIFEDRIN,ANTI-HISTAMINICOS SISTEMICOS
ACTILYSE,ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE
ACTIPROFEN,ANTINFLAMATORIOS
ACTIVE PLUS,
ACTIVELLE,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ACTONEL,SUPRESSORES DA REABSORCAO OSSEA
ACTONEL TRIO,SUPRESSORES DA REABSORCAO OSSEA
ACTOS,ANTIDIABETICOS
ACTOS  MET,ANTIDIABETICOS
ACTPARIN,ANTICOAGULANTES
ACU FRESH,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL
ACU FRESH G,EMOLIENTES E PROTETORES OFTALMICOS
ACULAR,ANTINFLAMATORIOS
ACYCLO,ANTIVIROTICOS
AD - CÁLCIO,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO
AD FURP,EMOLIENTES E PROTETORES DA PELE E MUCOSAS
AD TIL,POLIVITAMINICOS SEM MINERAIS
AD-ELEMENT,NUTRIENTES PARENTERAIS
AD-MUC,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES
AD-TIL,POLIVITAMINICOS SEM MINERAIS
AD-VITAM,POLIVITAMINICOS SEM MINERAIS
ADACEL,VACINAS
ADACEL Polio,VACINAS
ADACNE,PRODUTOS ANTI-ACNE
ADACNE CLIN,PRODUTOS ANTI-ACNE
ADACOR,ANTIANGINOSOS E VASODILATADORES
ADALAT,ANTIANGINOSOS E VASODILATADORES
ADALEX,ANTIANGINOSOS E VASODILATADORES
ADAPALENO,PRODUTOS ANTI-ACNE
ADAPEL,PRODUTOS ANTI-ACNE
ADAPTA,ANTIDEPRESSIVOS
ADAPTIS GEL,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL
ADCETRIS,ANTINEOPLASICO
ADCIRCA,VASODILATADORES
ADDAVEN,NUTRIENTES PARENTERAIS
ADDERA D3,ANALOGO SINTETICO DA VITAMINA D
ADDITIVA VITAMINA C,MONOVITAMINAS EXCETO VITAMINA K
ADECUR,ANTI-HIPERTENSIVOS SIMPLES
ADEDERME,EMOLIENTES E PROTETORES DA PELE E MUCOSAS
ADEDOIS,POLIVITAMINICOS SEM MINERAIS
ADEFORTE,POLIVITAMINICOS SEM MINERAIS
ADEGLÓS,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
ADEGRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE
ADEKS,POLIVITAMINICOS COM MINERAIS
ADELLE 20,ANTICONCEPCIONAIS
ADELLE 30,ANTICONCEPCIONAIS
ADEMETIONINA,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
ADENOCARD,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO
ADENON,MEDICAMENTOS DINAMIZADOS COMPOSTOS
ADENOSIA+ASSOCIAÇÕES,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
ADENOSINA,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO
ADENOSINA + ASSOCIAÇÕES,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES"
ADENOSINA+ASSOCIAÇÕES,COLAGOGOS E COLERETICOS + HEPATOPROTETORES E LIPOTROPICOS
ADEPRESS,FITOTERAPICO SIMPLES
ADEROGIL D3,POLIVITAMINICOS SEM MINERAIS
ADEROGIL GOTAS,POLIVITAMINICOS SEM MINERAIS
ADEXIL,PROSTAGLANDINAS
ADFEN,ANTINFLAMATORIOS ANTIREUMATICOS
ADILOZ,ANTIBIOTICOS SISTEMICOS SIMPLES
ADINOS,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ADINOS GEN,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ADIPEPT,ANTIACIDOS E ANTIULCEROSOS
ADIPINA,ANTIANGINOSOS E VASODILATADORES
ADLYV,ANALGESICOS NAO NARCOTICOS
ADMELOG,ANTIDIABETICOS
ADMENTA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ADNASAL,DESCONGESTIONANTES NASAIS TOPICOS
ADNAX,DESCONGESTIONANTES NASAIS TOPICOS
ADOLESS,ANTICONCEPCIONAIS
ADORLAN,ANALGESICOS NARCOTICOS
ADPREX,ANTIDEPRESSIVOS + FITOTERAPICO SIMPLES
ADRECON,GLICOCORTICOIDES SISTEMICOS
ADREN,MEDICAMENTOS C/ ACAO NO MIOCARDIO
ADRENALINA,VASOCONSTRITORES E HIPERTENSORES
ADRENOXIL,ANTI-HEMORRAGICOS
ADRENYL,BRONCODILATADORES
ADRIBLASTINA,ANTIBIOTICOS ANTINEOPLASICOS
ADROXIL,ANTIBIOTICOS SISTEMICOS SIMPLES
ADVANTAN,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ADVATE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
ADVIDINE,ANTISSEPTICO
ADVIL,ANALGESICOS NAO NARCOTICOS
ADVIT,VITAMINAS E SUPLEMENTOS MINERAIS
ADVNASAL,DESCONGESTIONANTES NASAIS TOPICOS
ADYNOVATE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
AEBOL,ANTIPSICOTICOS
AERO-PED,BRONCODILATADORES
AEROCLEAN,BRONCODILATADORES
AEROCORT S,ANTIASMATICOS
AERODILAT,BRONCODILATADORES
AERODINI,BRONCODILATADORES
AERODIOL,ESTROGENOS SIMPLES
AERODIVENT,BRONCODILATADORES
AEROFLUX,EXPECTORANTES
AEROFRIN,BRONCODILATADORES
AEROGOLD,BRONCODILATADORES
AEROGREEN,BRONCODILATADORES
AEROJET,BRONCODILATADORES
AEROLIN,BRONCODILATADORES
AEROMED,BRONCODILATADORES
AERONAX,BRONCODILATADORES
AEROTAMOL,BRONCODILATADORES
AEROTIDE,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
AEROTRAT,BRONCODILATADORES
AESCULUS HIPPOCASTANUM,FITOTERAPICO SIMPLES
AFINITOR,ANTINEOPLASICO
AFOLIC,ANTIANEMICOS SIMPLES
AFOLIC INFANTIL,ANTIANEMICOS SIMPLES
AFOPIC,ANTIANEMICOS
AFRAT,SUPRESSORES DA REABSORCAO OSSEA
AFREZZA,ANTIDIABETICOS
AFRIN,DESCONGESTIONANTES NASAIS TOPICOS
AFRIN SALINE MIST,DESCONGESTIONANTES NASAIS TOPICOS
AFSTYLA,OUTROS PRODUTOS ANTI-HEMORRAGICOS
AFTINE,PRODUTOS PARA OROFARINGE
AFTJET,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
AFTODERM,ANTIMICOTICO
AGALAX,LAXANTES IRRITANTES OU ESTIMULANTES
AGAMIR,ANTIPARKINSONIANOS
AGAROL,LAXANTES IRRITANTES OU ESTIMULANTES
AGARORIO,LAXANTES
AGASTEN,ANTI-HISTAMINICOS SISTEMICOS
AGENERASE,ANTIVIROTICOS
AGEZAG,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
AGILISIN,ANTINFLAMATORIOS ANTIREUMATICOS
